model_name,drift_name,feature_selector_name,learning_threshold,iteration,accuracy,drifts_detected,drift_args
hoeffdingtreeclassifier,kswin,tstat,0,2,0.541,5,"alpha=0.01, window_size=100, stat_size=30"
hoeffdingtreeclassifier,kswin,tstat,0,3,0.55,5,"alpha=0.01, window_size=100, stat_size=30"
hoeffdingtreeclassifier,kswin,tstat,0,1,0.539,4,"alpha=0.01, window_size=100, stat_size=40"
hoeffdingtreeclassifier,kswin,tstat,0,2,0.522,4,"alpha=0.01, window_size=100, stat_size=40"
hoeffdingtreeclassifier,kswin,tstat,0,3,0.525,4,"alpha=0.01, window_size=100, stat_size=40"
hoeffdingtreeclassifier,kswin,tstat,0,1,0.522,6,"alpha=0.01, window_size=200, stat_size=20"
hoeffdingtreeclassifier,kswin,tstat,0,2,0.542,5,"alpha=0.01, window_size=200, stat_size=20"
hoeffdingtreeclassifier,kswin,tstat,0,3,0.55,6,"alpha=0.01, window_size=200, stat_size=20"
hoeffdingtreeclassifier,kswin,tstat,0,1,0.526,7,"alpha=0.01, window_size=200, stat_size=30"
hoeffdingtreeclassifier,kswin,tstat,0,2,0.532,8,"alpha=0.01, window_size=200, stat_size=30"
hoeffdingtreeclassifier,kswin,tstat,0,3,0.528,5,"alpha=0.01, window_size=200, stat_size=30"
hoeffdingtreeclassifier,kswin,tstat,0,1,0.521,7,"alpha=0.01, window_size=200, stat_size=40"
hoeffdingtreeclassifier,kswin,tstat,0,2,0.529,8,"alpha=0.01, window_size=200, stat_size=40"
hoeffdingtreeclassifier,kswin,tstat,0,3,0.538,5,"alpha=0.01, window_size=200, stat_size=40"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.502,1,"delta=0.001, threshold=30.0, alpha=0.99, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.502,1,"delta=0.001, threshold=30.0, alpha=0.99, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.502,1,"delta=0.001, threshold=30.0, alpha=0.99, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.502,1,"delta=0.001, threshold=30.0, alpha=0.99, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.502,1,"delta=0.001, threshold=30.0, alpha=0.99, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.502,1,"delta=0.001, threshold=30.0, alpha=0.99, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.502,1,"delta=0.001, threshold=30.0, alpha=0.99, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.502,1,"delta=0.001, threshold=30.0, alpha=0.99, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.502,1,"delta=0.001, threshold=30.0, alpha=0.99, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.517,5,"delta=0.001, threshold=30.0, alpha=0.9999, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.503,5,"delta=0.001, threshold=30.0, alpha=0.9999, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.541,4,"delta=0.001, threshold=30.0, alpha=0.9999, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.502,2,"delta=0.001, threshold=30.0, alpha=0.9999, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.529,3,"delta=0.001, threshold=30.0, alpha=0.9999, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.504,3,"delta=0.001, threshold=30.0, alpha=0.9999, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.502,3,"delta=0.001, threshold=30.0, alpha=0.9999, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.509,4,"delta=0.001, threshold=30.0, alpha=0.9999, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.502,4,"delta=0.001, threshold=30.0, alpha=0.9999, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.502,0,"delta=0.001, threshold=50.0, alpha=0.99, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.502,0,"delta=0.001, threshold=50.0, alpha=0.99, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.503,0,"delta=0.001, threshold=50.0, alpha=0.99, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.503,0,"delta=0.001, threshold=50.0, alpha=0.99, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.503,0,"delta=0.001, threshold=50.0, alpha=0.99, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.503,0,"delta=0.001, threshold=50.0, alpha=0.99, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.503,0,"delta=0.001, threshold=50.0, alpha=0.99, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.503,0,"delta=0.001, threshold=50.0, alpha=0.99, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.503,0,"delta=0.001, threshold=50.0, alpha=0.99, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.506,4,"delta=0.001, threshold=50.0, alpha=0.9999, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.503,4,"delta=0.001, threshold=50.0, alpha=0.9999, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.509,3,"delta=0.001, threshold=50.0, alpha=0.9999, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.504,2,"delta=0.001, threshold=50.0, alpha=0.9999, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.504,2,"delta=0.001, threshold=50.0, alpha=0.9999, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.504,2,"delta=0.001, threshold=50.0, alpha=0.9999, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.504,2,"delta=0.001, threshold=50.0, alpha=0.9999, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.504,2,"delta=0.001, threshold=50.0, alpha=0.9999, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.504,2,"delta=0.001, threshold=50.0, alpha=0.9999, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.504,0,"delta=0.001, threshold=100.0, alpha=0.99, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.504,0,"delta=0.001, threshold=100.0, alpha=0.99, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.504,0,"delta=0.001, threshold=100.0, alpha=0.99, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.504,0,"delta=0.001, threshold=100.0, alpha=0.99, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.504,0,"delta=0.001, threshold=100.0, alpha=0.99, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.504,0,"delta=0.001, threshold=100.0, alpha=0.99, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.504,0,"delta=0.001, threshold=100.0, alpha=0.99, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.504,0,"delta=0.001, threshold=100.0, alpha=0.99, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.504,0,"delta=0.001, threshold=100.0, alpha=0.99, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.504,0,"delta=0.001, threshold=100.0, alpha=0.9999, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.509,1,"delta=0.001, threshold=100.0, alpha=0.9999, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.51,1,"delta=0.001, threshold=100.0, alpha=0.9999, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.504,0,"delta=0.001, threshold=100.0, alpha=0.9999, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.504,0,"delta=0.001, threshold=100.0, alpha=0.9999, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.504,0,"delta=0.001, threshold=100.0, alpha=0.9999, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.504,0,"delta=0.001, threshold=100.0, alpha=0.9999, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.522,2,"delta=0.001, threshold=100.0, alpha=0.9999, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.504,0,"delta=0.001, threshold=100.0, alpha=0.9999, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.504,1,"delta=0.005, threshold=30.0, alpha=0.99, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.504,1,"delta=0.005, threshold=30.0, alpha=0.99, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.504,1,"delta=0.005, threshold=30.0, alpha=0.99, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.504,1,"delta=0.005, threshold=30.0, alpha=0.99, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.504,1,"delta=0.005, threshold=30.0, alpha=0.99, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.504,1,"delta=0.005, threshold=30.0, alpha=0.99, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.504,1,"delta=0.005, threshold=30.0, alpha=0.99, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.504,2,"delta=0.005, threshold=30.0, alpha=0.99, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.504,1,"delta=0.005, threshold=30.0, alpha=0.99, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.544,4,"delta=0.005, threshold=30.0, alpha=0.9999, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.539,5,"delta=0.005, threshold=30.0, alpha=0.9999, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.503,6,"delta=0.005, threshold=30.0, alpha=0.9999, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.527,3,"delta=0.005, threshold=30.0, alpha=0.9999, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.521,3,"delta=0.005, threshold=30.0, alpha=0.9999, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.521,3,"delta=0.005, threshold=30.0, alpha=0.9999, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.528,4,"delta=0.005, threshold=30.0, alpha=0.9999, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.51,3,"delta=0.005, threshold=30.0, alpha=0.9999, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.515,3,"delta=0.005, threshold=30.0, alpha=0.9999, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.505,0,"delta=0.005, threshold=50.0, alpha=0.99, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.504,0,"delta=0.005, threshold=50.0, alpha=0.99, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.504,0,"delta=0.005, threshold=50.0, alpha=0.99, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.504,0,"delta=0.005, threshold=50.0, alpha=0.99, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.504,0,"delta=0.005, threshold=50.0, alpha=0.99, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.504,0,"delta=0.005, threshold=50.0, alpha=0.99, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.504,0,"delta=0.005, threshold=50.0, alpha=0.99, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.504,0,"delta=0.005, threshold=50.0, alpha=0.99, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.504,0,"delta=0.005, threshold=50.0, alpha=0.99, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.514,3,"delta=0.005, threshold=50.0, alpha=0.9999, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.513,4,"delta=0.005, threshold=50.0, alpha=0.9999, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.514,3,"delta=0.005, threshold=50.0, alpha=0.9999, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.504,2,"delta=0.005, threshold=50.0, alpha=0.9999, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.51,2,"delta=0.005, threshold=50.0, alpha=0.9999, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.507,3,"delta=0.005, threshold=50.0, alpha=0.9999, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.504,2,"delta=0.005, threshold=50.0, alpha=0.9999, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.504,2,"delta=0.005, threshold=50.0, alpha=0.9999, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.504,2,"delta=0.005, threshold=50.0, alpha=0.9999, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.504,0,"delta=0.005, threshold=100.0, alpha=0.99, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.504,0,"delta=0.005, threshold=100.0, alpha=0.99, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.504,0,"delta=0.005, threshold=100.0, alpha=0.99, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.504,0,"delta=0.005, threshold=100.0, alpha=0.99, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.504,0,"delta=0.005, threshold=100.0, alpha=0.99, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.504,0,"delta=0.005, threshold=100.0, alpha=0.99, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.504,0,"delta=0.005, threshold=100.0, alpha=0.99, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.504,0,"delta=0.005, threshold=100.0, alpha=0.99, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.504,0,"delta=0.005, threshold=100.0, alpha=0.99, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.504,0,"delta=0.005, threshold=100.0, alpha=0.9999, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.504,0,"delta=0.005, threshold=100.0, alpha=0.9999, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.504,0,"delta=0.005, threshold=100.0, alpha=0.9999, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.504,0,"delta=0.005, threshold=100.0, alpha=0.9999, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.504,0,"delta=0.005, threshold=100.0, alpha=0.9999, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.504,0,"delta=0.005, threshold=100.0, alpha=0.9999, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.504,0,"delta=0.005, threshold=100.0, alpha=0.9999, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.504,0,"delta=0.005, threshold=100.0, alpha=0.9999, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.504,0,"delta=0.005, threshold=100.0, alpha=0.9999, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.504,1,"delta=0.01, threshold=30.0, alpha=0.99, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.504,1,"delta=0.01, threshold=30.0, alpha=0.99, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.504,1,"delta=0.01, threshold=30.0, alpha=0.99, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.504,1,"delta=0.01, threshold=30.0, alpha=0.99, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.504,1,"delta=0.01, threshold=30.0, alpha=0.99, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.504,1,"delta=0.01, threshold=30.0, alpha=0.99, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.504,1,"delta=0.01, threshold=30.0, alpha=0.99, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.504,2,"delta=0.01, threshold=30.0, alpha=0.99, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.504,1,"delta=0.01, threshold=30.0, alpha=0.99, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.545,3,"delta=0.01, threshold=30.0, alpha=0.9999, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.544,3,"delta=0.01, threshold=30.0, alpha=0.9999, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.544,3,"delta=0.01, threshold=30.0, alpha=0.9999, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.504,3,"delta=0.01, threshold=30.0, alpha=0.9999, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.534,3,"delta=0.01, threshold=30.0, alpha=0.9999, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.507,3,"delta=0.01, threshold=30.0, alpha=0.9999, mode=up"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.533,3,"delta=0.01, threshold=30.0, alpha=0.9999, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.511,3,"delta=0.01, threshold=30.0, alpha=0.9999, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.517,4,"delta=0.01, threshold=30.0, alpha=0.9999, mode=down"
hoeffdingtreeclassifier,pagehinkley,tstat,0,1,0.504,0,"delta=0.01, threshold=50.0, alpha=0.99, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,2,0.504,0,"delta=0.01, threshold=50.0, alpha=0.99, mode=both"
hoeffdingtreeclassifier,pagehinkley,tstat,0,3,0.504,0,"delta=0.01, threshold=50.0, alpha=0.99, mode=both"
