model_name,drift_name,feature_selector_name,learning_threshold,iteration,accuracy,drifts_detected,model_args,ticker
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,1000,2,0.512,33,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,1000,3,0.512,33,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,1000,4,0.512,33,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,1000,5,0.512,33,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,2000,1,0.513,29,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,2000,2,0.513,29,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,2000,3,0.513,29,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,2000,4,0.513,29,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,2000,5,0.513,29,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,100,1,0.523,1,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,100,2,0.523,1,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,100,3,0.523,1,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,100,4,0.523,1,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,100,5,0.523,1,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,200,1,0.526,1,"grace_period=100, max_depth=4, delta=0.001",AAPL
