model_name,drift_name,feature_selector_name,num_features,learning_threshold,iteration,accuracy,drifts_detected,model_args,ticker
majorityclass,bollingerband,tstat,5,500,2,0.524,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,bollingerband,tstat,5,500,3,0.524,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,bollingerband,tstat,5,500,4,0.524,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,bollingerband,tstat,5,500,5,0.524,8,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,adwin,selectkbest,7,500,1,0.522,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,adwin,selectkbest,7,500,2,0.522,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,adwin,selectkbest,7,500,3,0.522,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,adwin,selectkbest,7,500,4,0.522,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,adwin,selectkbest,7,500,5,0.522,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,kswin,selectkbest,7,500,1,0.525,5,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,kswin,selectkbest,7,500,2,0.512,3,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,kswin,selectkbest,7,500,3,0.516,5,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,kswin,selectkbest,7,500,4,0.514,4,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,kswin,selectkbest,7,500,5,0.51,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,pagehinkley,selectkbest,7,500,1,0.527,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
majorityclass,pagehinkley,selectkbest,7,500,2,0.527,1,"grace_period=200, max_depth=None, delta=1e-07",AAPL
