ensemble_name,model_name,drift_name,feature_selector_name,learning_threshold,iteration,accuracy,drifts_detected,model_args,ticker,base_models_count
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,0,0.507,8,{},AAPL,8
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,1,0.497,8,{},AAPL,2
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,1,0.509,8,{},AAPL,5
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,1,0.512,8,{},AAPL,8
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,2,0.506,8,{},AAPL,2
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,2,0.506,8,{},AAPL,5
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,2,0.51,8,{},AAPL,8
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,3,0.507,8,{},AAPL,2
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,3,0.509,8,{},AAPL,5
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,3,0.507,8,{},AAPL,8
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,4,0.51,8,{},AAPL,2
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,4,0.505,8,{},AAPL,5
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,4,0.509,8,{},AAPL,8
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,0,0.518,0,{},AAPL,2
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,0,0.514,0,{},AAPL,5
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,0,0.517,0,{},AAPL,8
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,1,0.503,0,{},AAPL,2
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,1,0.517,0,{},AAPL,5
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,1,0.52,0,{},AAPL,8
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,2,0.516,0,{},AAPL,2
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,2,0.516,0,{},AAPL,5
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,2,0.52,0,{},AAPL,8
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,3,0.508,0,{},AAPL,2
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,3,0.514,0,{},AAPL,5
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,3,0.521,0,{},AAPL,8
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,4,0.518,0,{},AAPL,2
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,4,0.51,0,{},AAPL,5
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,4,0.521,0,{},AAPL,8
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,0,0.518,2,{},AAPL,2
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,0,0.516,4,{},AAPL,5
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,0,0.512,2,{},AAPL,8
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,1,0.519,4,{},AAPL,2
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,1,0.518,4,{},AAPL,5
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,1,0.516,1,{},AAPL,8
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,2,0.512,1,{},AAPL,2
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,2,0.513,2,{},AAPL,5
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,2,0.512,5,{},AAPL,8
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,3,0.52,1,{},AAPL,2
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,3,0.52,2,{},AAPL,5
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,3,0.515,4,{},AAPL,8
