ensemble_name,model_name,drift_name,feature_selector_name,learning_threshold,iteration,accuracy,drifts_detected,model_args,ticker,base_models_count
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,3,0.543,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,4,0.527,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,4,0.534,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,adwin,selectkbest,500,4,0.542,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,0,0.532,1,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,0,0.538,1,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,0,0.515,1,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,1,0.537,2,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,1,0.533,1,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,1,0.497,1,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,2,0.539,1,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,2,0.509,1,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,2,0.52,1,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,3,0.539,1,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,3,0.527,1,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,3,0.518,1,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,4,0.511,1,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,4,0.507,1,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,kswin,selectkbest,500,4,0.542,1,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,selectkbest,500,0,0.543,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,selectkbest,500,0,0.543,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,selectkbest,500,0,0.525,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,selectkbest,500,1,0.543,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,selectkbest,500,1,0.533,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,selectkbest,500,1,0.53,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,selectkbest,500,2,0.543,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,selectkbest,500,2,0.521,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,selectkbest,500,2,0.538,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,selectkbest,500,3,0.543,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,selectkbest,500,3,0.539,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,selectkbest,500,3,0.53,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,selectkbest,500,4,0.542,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,selectkbest,500,4,0.541,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,selectkbest,500,4,0.535,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,selectkbest,500,0,0.536,3,{},^SPX,2
