model_name,drift_name,learning_threshold,accuracy,drifts_detected,model_args,ticker
majorityclass,dummydriftdetector,100,0.499,36,5000.0,AAPL
majorityclass,dummydriftdetector,200,0.499,35,5000.0,AAPL
majorityclass,dummydriftdetector,500,0.5,34,5000.0,AAPL
majorityclass,dummydriftdetector,1000,0.496,33,5000.0,AAPL
majorityclass,dummydriftdetector,2000,0.49,29,5000.0,AAPL
majorityclass,pagehinkley,100,0.499,3,5000.0,AAPL
majorityclass,pagehinkley,200,0.499,3,5000.0,AAPL
majorityclass,pagehinkley,500,0.5,3,5000.0,AAPL
majorityclass,pagehinkley,1000,0.496,3,5000.0,AAPL
majorityclass,pagehinkley,2000,0.49,2,5000.0,AAPL
majorityclass,bollingerband,100,0.499,9,5000.0,AAPL
majorityclass,bollingerband,200,0.499,8,5000.0,AAPL
majorityclass,bollingerband,500,0.5,8,5000.0,AAPL
majorityclass,bollingerband,1000,0.496,8,5000.0,AAPL
majorityclass,bollingerband,2000,0.49,7,5000.0,AAPL
majorityclass,adwin,100,0.501,1,10000.0,AAPL
majorityclass,adwin,200,0.484,0,10000.0,AAPL
majorityclass,adwin,500,0.495,1,10000.0,AAPL
majorityclass,adwin,1000,0.505,1,10000.0,AAPL
majorityclass,adwin,2000,0.508,1,10000.0,AAPL
majorityclass,kswin,100,0.473,3,10000.0,AAPL
majorityclass,kswin,200,0.484,4,10000.0,AAPL
majorityclass,kswin,500,0.495,3,10000.0,AAPL
majorityclass,kswin,1000,0.505,3,10000.0,AAPL
majorityclass,kswin,2000,0.508,4,10000.0,AAPL
majorityclass,dummydriftdetector,100,0.473,36,10000.0,AAPL
majorityclass,dummydriftdetector,200,0.484,35,10000.0,AAPL
majorityclass,dummydriftdetector,500,0.495,34,10000.0,AAPL
majorityclass,dummydriftdetector,1000,0.505,33,10000.0,AAPL
majorityclass,dummydriftdetector,2000,0.508,29,10000.0,AAPL
majorityclass,pagehinkley,100,0.473,0,10000.0,AAPL
majorityclass,pagehinkley,200,0.484,2,10000.0,AAPL
majorityclass,pagehinkley,500,0.495,1,10000.0,AAPL
majorityclass,pagehinkley,1000,0.505,1,10000.0,AAPL
majorityclass,pagehinkley,2000,0.508,1,10000.0,AAPL
majorityclass,bollingerband,100,0.473,9,10000.0,AAPL
majorityclass,bollingerband,200,0.484,8,10000.0,AAPL
majorityclass,bollingerband,500,0.495,8,10000.0,AAPL
majorityclass,bollingerband,1000,0.505,8,10000.0,AAPL
majorityclass,bollingerband,2000,0.508,7,10000.0,AAPL
